date	location	median_R	R_upper_80	R_lower_80
2022-05-07	Western Europe	12.895183	13.615927	11.73534
2022-05-08	Western Europe	12.775119	13.494308	11.677472
2022-05-09	Western Europe	12.647115	13.366734	11.59334
2022-05-10	Western Europe	12.522335	13.225057	11.492642
2022-05-11	Western Europe	12.389635	13.074389	11.377578
2022-05-12	Western Europe	12.254812	12.917713	11.260743
2022-05-13	Western Europe	12.102955	12.754923	11.131844
2022-05-14	Western Europe	11.939166	12.584655	10.988957
2022-05-15	Western Europe	11.763829	12.411185	10.846153
2022-05-16	Western Europe	11.582665	12.231142	10.69799
2022-05-17	Western Europe	11.396157	12.031923	10.541809
2022-05-18	Western Europe	11.204792	11.826283	10.381094
2022-05-19	Western Europe	11.010716	11.613806	10.217431
2022-05-20	Western Europe	10.812632	11.403532	10.049613
2022-05-21	Western Europe	10.616261	11.204303	9.877967
2022-05-22	Western Europe	10.410396	10.999115	9.702901
2022-05-23	Western Europe	10.212088	10.774023	9.524815
2022-05-24	Western Europe	10.026784	10.555506	9.344098
2022-05-25	Western Europe	9.82275	10.336803	9.159795
2022-05-26	Western Europe	9.607507	10.122418	8.968376
2022-05-27	Western Europe	9.416064	9.901474	8.780287
2022-05-28	Western Europe	9.215174	9.676408	8.593447
2022-05-29	Western Europe	9.000762	9.449502	8.402083
2022-05-30	Western Europe	8.793863	9.222538	8.203683
2022-05-31	Western Europe	8.586456	8.996325	8.006432
2022-06-01	Western Europe	8.384159	8.770985	7.8254204
2022-06-02	Western Europe	8.187313	8.5465	7.645811
2022-06-03	Western Europe	7.980192	8.325015	7.463282
2022-06-04	Western Europe	7.7644825	8.10954	7.2667255
2022-06-05	Western Europe	7.5581064	7.893695	7.071918
2022-06-06	Western Europe	7.3567047	7.6770144	6.87925
2022-06-07	Western Europe	7.161423	7.4636564	6.6897225
2022-06-08	Western Europe	6.964115	7.2524886	6.506879
2022-06-09	Western Europe	6.768985	7.0439467	6.3349953
2022-06-10	Western Europe	6.5824723	6.838118	6.1617036
2022-06-11	Western Europe	6.3982325	6.6351476	5.9842696
2022-06-12	Western Europe	6.2147617	6.4399548	5.8086615
2022-06-13	Western Europe	6.033985	6.2525473	5.63685
2022-06-14	Western Europe	5.8559976	6.061875	5.4700546
2022-06-15	Western Europe	5.680667	5.8732195	5.30208
2022-06-16	Western Europe	5.5074315	5.688388	5.1438246
2022-06-17	Western Europe	5.3415723	5.507451	4.9903083
2022-06-18	Western Europe	5.1705165	5.329341	4.8332577
2022-06-19	Western Europe	5.001953	5.1548243	4.6833186
2022-06-20	Western Europe	4.838495	4.9871335	4.534821
2022-06-21	Western Europe	4.6816626	4.8201528	4.3862686
2022-06-22	Western Europe	4.5282364	4.6572843	4.2459407
2022-06-23	Western Europe	4.377116	4.5035257	4.1061187
2022-06-24	Western Europe	4.227231	4.3552094	3.971882
2022-06-25	Western Europe	4.083029	4.207035	3.8436334
2022-06-26	Western Europe	3.945028	4.062703	3.7146273
2022-06-27	Western Europe	3.8106616	3.9213274	3.5882185
