Month,Orig Country,Dest Country,Total Market Pax
9,Austria,Austria,11919
9,Austria,Belgium,18656
9,Austria,Canada,8410
9,Austria,Colombia,690
9,Austria,France,45153
9,Austria,Germany,139734
9,Austria,Italy,98308
9,Austria,Peru,709
9,Austria,Portugal,18484
9,Austria,Slovakia,2451
9,Austria,Slovenia,16
9,Austria,Spain,128470
9,Austria,Switzerland,29013
9,Austria,United Kingdom,66414
9,Austria,United States,39964
9,Belgium,Austria,18981
9,Belgium,Canada,9071
9,Belgium,Colombia,685
9,Belgium,France,70468
9,Belgium,Germany,28532
9,Belgium,Italy,159291
9,Belgium,Peru,678
9,Belgium,Portugal,66288
9,Belgium,Slovakia,2024
9,Belgium,Slovenia,4048
9,Belgium,Spain,257120
9,Belgium,Switzerland,32038
9,Belgium,United Kingdom,31861
9,Belgium,United States,44705
9,Canada,Austria,7672
9,Canada,Belgium,7785
9,Canada,Canada,2823797
9,Canada,Colombia,8977
9,Canada,France,104800
9,Canada,Germany,53811
9,Canada,Italy,64894
9,Canada,Peru,4035
9,Canada,Portugal,38393
9,Canada,Slovakia,128
9,Canada,Slovenia,552
9,Canada,Spain,37750
9,Canada,Switzerland,16420
9,Canada,United Kingdom,147091
9,Canada,United States,927530
9,Colombia,Austria,636
9,Colombia,Belgium,618
9,Colombia,Canada,10599
9,Colombia,Colombia,2401785
9,Colombia,France,8553
9,Colombia,Germany,6338
9,Colombia,Italy,5846
9,Colombia,Peru,32549
9,Colombia,Portugal,1018
9,Colombia,Spain,62904
9,Colombia,Switzerland,1521
9,Colombia,United Kingdom,5942
9,Colombia,United States,174256
9,France,Austria,46350
9,France,Belgium,72096
9,France,Canada,115636
9,France,Colombia,5977
9,France,France,1633479
9,France,Germany,176219
9,France,Italy,508095
9,France,Peru,4789
9,France,Portugal,300493
9,France,Slovakia,187
9,France,Slovenia,2992
9,France,Spain,573452
9,France,Switzerland,131508
9,France,United Kingdom,394449
9,France,United States,268222
9,Germany,Austria,140574
9,Germany,Belgium,28414
9,Germany,Canada,52550
9,Germany,Colombia,4897
