strain_country_date	accession	date	region_coarse	country	strain
4061_Spain_2022-05-20	ON838940	2022-05-20	Southern Europe	Spain	4061
8887_Spain_2022-06-06	ON838939	2022-06-06	Southern Europe	Spain	8887
9000289_UnitedKingdom_2022-08-17	OP413714	2022-08-17	Western Europe	United Kingdom	9000289
9000369_UnitedKingdom_2022-08-01	OP536750	2022-08-01	Western Europe	United Kingdom	9000369
9000382_UnitedKingdom_2022-08-01	OP536761	2022-08-01	Western Europe	United Kingdom	9000382
9000385_UnitedKingdom_2022-09-30	OP536764	2022-09-30	Western Europe	United Kingdom	9000385
9000387_UnitedKingdom_2022-08-01	OP536765	2022-08-01	Western Europe	United Kingdom	9000387
9000393_UnitedKingdom_2022-08-01	OP536771	2022-08-01	Western Europe	United Kingdom	9000393
9000396_UnitedKingdom_2022-09-01	OP536774	2022-09-01	Western Europe	United Kingdom	9000396
9000400_UnitedKingdom_2022-09-01	OP536778	2022-09-01	Western Europe	United Kingdom	9000400
9000405_UnitedKingdom_2022-09-12	OP536781	2022-09-12	Western Europe	United Kingdom	9000405
9000406_UnitedKingdom_2022-09-12	OP536782	2022-09-12	Western Europe	United Kingdom	9000406
9000407_UnitedKingdom_2022-09-22	OP536783	2022-09-22	Western Europe	United Kingdom	9000407
9000409_UnitedKingdom_2022-09-01	OP536785	2022-09-01	Western Europe	United Kingdom	9000409
9000420_UnitedKingdom_2022-08-31	OP536794	2022-08-31	Western Europe	United Kingdom	9000420
9000426_UnitedKingdom_2022-08-01	OP536800	2022-08-01	Western Europe	United Kingdom	9000426
9000429_UnitedKingdom_2022-09-01	OP536801	2022-09-01	Western Europe	United Kingdom	9000429
9000430_UnitedKingdom_2022-09-01	OP536802	2022-09-01	Western Europe	United Kingdom	9000430
9000431_UnitedKingdom_2022-09-12	OP536803	2022-09-12	Western Europe	United Kingdom	9000431
9000432_UnitedKingdom_2022-09-01	OP536804	2022-09-01	Western Europe	United Kingdom	9000432
9000437_UnitedKingdom_2022-08-01	OP536806	2022-08-01	Western Europe	United Kingdom	9000437
9000438_UnitedKingdom_2022-09-30	OP536807	2022-09-30	Western Europe	United Kingdom	9000438
9000448_UnitedKingdom_2022-09-01	OP536811	2022-09-01	Western Europe	United Kingdom	9000448
9000451_UnitedKingdom_2022-09-01	OP536813	2022-09-01	Western Europe	United Kingdom	9000451
9000452_UnitedKingdom_2022-09-01	OP536814	2022-09-01	Western Europe	United Kingdom	9000452
MPXV_USA_2021_MD_USA_2021-11-30	ON676708	2021-11-30	North America	USA	MPXV_USA_2021_MD
CMIP-P0_France_2022-06-14	OQ249661	2022-06-14	Western Europe	France	CMIP-P0
CIBU-220035_France_2022-06-08	OQ249660	2022-06-08	Western Europe	France	CIBU-220035
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00385/2022_USA_2022-10-21	OQ330992	2022-10-21	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00385/2022
Monkeypox/PT0346/2022_Portugal_2022-05-26	OP414375	2022-05-26	Southern Europe	Portugal	Monkeypox/PT0346/2022
Monkeypox/PT0235/2022_Portugal_2022-06-21	OP324543	2022-06-21	Southern Europe	Portugal	Monkeypox/PT0235/2022
Slovenia-MPXV-11-2022_Slovenia_2022-07-01	OP605554	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-11-2022
MPXV_USA_2022_CA0043_USA_2022-06-01	OP451016	2022-06-01	North America	USA	MPXV_USA_2022_CA0043
Slovenia-MPXV-23-2022_Slovenia_2022-07-01	OP605565	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-23-2022
Slovenia-MPXV-29-2022_Slovenia_2022-07-01	OP605571	2022-07-01	Central Europe	Slovenia	Slovenia-MPXV-29-2022
Slovenia-MPXV-41-2022_Slovenia_2022-08-01	OP605582	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-41-2022
INMI-Pt1_Italy_2022-05-18	ON614676	2022-05-18	Southern Europe	Italy	INMI-Pt1
MPX/UZ_REGA_2/Belgium/2022_Belgium_2022-05-22	ON622713	2022-05-22	Western Europe	Belgium	MPX/UZ_REGA_2/Belgium/2022
MPXV/Germany/2022/RKI593_Germany_2022-10-01	OP837355	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/RKI593
hMPXV-IHU00014_France_2022-07-22	OP382491	2022-07-22	Western Europe	France	hMPXV-IHU00014
MPXV/Germany/2022/ON/RKI512_Germany_2022-10-01	OP689665	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI512
Monkeypox/PT0262/2022_Portugal_2022-06-17	OP414302	2022-06-17	Southern Europe	Portugal	Monkeypox/PT0262/2022
hMPXV/Austria/MUW1532243/2022_Austria_2022-07-06	OP133006	2022-07-06	Western Europe	Austria	hMPXV/Austria/MUW1532243/2022
MPXV_USA_2022_HI0003_USA_2022-06-01	OP378703	2022-06-01	North America	USA	MPXV_USA_2022_HI0003
Monkeypox/PT0354/2022_Portugal_2022-05-23	OP414381	2022-05-23	Southern Europe	Portugal	Monkeypox/PT0354/2022
INMI-Pt3_Italy_2022-05-19	ON780016	2022-05-19	Southern Europe	Italy	INMI-Pt3
MPXV/Germany/2022/ON/RKI510_Germany_2022-10-01	OP689663	2022-10-01	Western Europe	Germany	MPXV/Germany/2022/ON/RKI510
Monkeypox/PT0437/2022_Portugal_2022-08-02	OP555521	2022-08-02	Southern Europe	Portugal	Monkeypox/PT0437/2022
Monkeypox/PT0028/2022_Portugal_2022-05-18	ON649709	2022-05-18	Southern Europe	Portugal	Monkeypox/PT0028/2022
Monkeypox/PT0298/2022_Portugal_2022-06-08	OP414332	2022-06-08	Southern Europe	Portugal	Monkeypox/PT0298/2022
MPXV/Germany/2022/RKI557_Germany_2022-06-01	OP764615	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI557
MPXV_UK_2022_6_UnitedKingdom_2022-05-01	OP022171	2022-05-01	Western Europe	United Kingdom	MPXV_UK_2022_6
