	accession	date	region_coarse	strain
0	ON838940	5/20/22	Southern Europe	4061
1	ON838939	6/6/22	Southern Europe	8887
2	OP413713	7/31/22	Western Europe	9000231
3	OP413717	8/1/22	Western Europe	9000353
4	OP536748	8/1/22	Western Europe	9000366
5	OP536751	8/31/22	Western Europe	9000370
6	OP536753	8/31/22	Western Europe	9000373
7	OP536754	8/31/22	Western Europe	9000374
8	OP536758	8/31/22	Western Europe	9000378
9	OP536763	8/24/22	Western Europe	9000384
10	OP536764	9/1/22	Western Europe	9000385
11	OP536765	8/31/22	Western Europe	9000387
12	OP536768	8/31/22	Western Europe	9000390
13	OP536773	8/1/22	Western Europe	9000395
14	OP536774	9/30/22	Western Europe	9000396
15	OP536776	9/30/22	Western Europe	9000398
16	OP536777	9/1/22	Western Europe	9000399
17	OP536778	9/30/22	Western Europe	9000400
18	OP536779	9/30/22	Western Europe	9000403
19	OP536781	9/30/22	Western Europe	9000405
20	OP536782	9/1/22	Western Europe	9000406
21	OP536783	9/30/22	Western Europe	9000407
22	OP536784	9/1/22	Western Europe	9000408
23	OP536785	9/30/22	Western Europe	9000409
24	OP536792	8/1/22	Western Europe	9000418
25	OP536795	8/1/22	Western Europe	9000421
26	OP536798	8/1/22	Western Europe	9000424
27	OP536801	9/30/22	Western Europe	9000429
28	OP536802	9/30/22	Western Europe	9000430
29	OP536803	9/30/22	Western Europe	9000431
30	OP536804	9/30/22	Western Europe	9000432
31	OP536807	9/1/22	Western Europe	9000438
32	OP536808	8/31/22	Western Europe	9000442
33	OP536811	9/1/22	Western Europe	9000448
34	OP536813	9/1/22	Western Europe	9000451
35	OP536814	9/1/22	Western Europe	9000452
36	OP536815	9/1/22	Western Europe	9000453
37	ON676708	11/30/21	North America	MPXV_USA_2021_MD
38	OP414369	5/26/22	Southern Europe	Monkeypox/PT0340/2022
39	OP555499	7/19/22	Southern Europe	Monkeypox/PT0403/2022
40	OQ121019	7/12/22	North America	hMpxV/USA/CA-CDPH-1000065/2022
41	ON649717	5/21/22	Southern Europe	Monkeypox/PT0019/2022
42	OP587250	7/7/22	North America	MPXV/Human/USA/CA-CDPH-MPX000021/2022
43	OP587248	7/8/22	North America	MPXV/Human/USA/CA-CDPH-MPX000019/2022
44	OP414305	6/17/22	Southern Europe	Monkeypox/PT0265/2022
45	ON803433	5/20/22	North America	MpxV/human/CAN/UN-NML-2885/2022
46	ON880527	5/27/22	North America	MpxV/human/CAN/UN-NML-3141/2022
47	OP722515	7/13/22	North America	MPX/Human/USA/CA-LACPHL-MA00256/2022
48	OP743357	5/21/22	North America	MPXV/Human/USA/UT-UPHL-82200022/2022
49	ON676706	5/1/22	North America	MPXV_USA_2022_UT002
50	OP133006	7/6/22	Western Europe	hMPXV/Austria/MUW1532243/2022
51	ON803427	5/18/22	North America	MpxV/human/CAN/UN-NML-2861/2022
52	OP605565	7/1/22	Central Europe	Slovenia-MPXV-23-2022
53	OP451013	6/1/22	North America	MPXV_USA_2022_CA0057
54	ON644344	5/25/22	Southern Europe	MPXV_FVG-ITA_01_2022
55	OP414379	5/24/22	Southern Europe	Monkeypox/PT0350/2022
56	OP597776	6/25/22	North America	MN-MDH-MPXV_0002
57	OP245336	7/21/22	Southern Europe	MPX/PT0085/2022
58	ON959174	7/31/22	Western Europe	MPXV/Germany/2022/RKI161
59	OP414365	5/29/22	Southern Europe	Monkeypox/PT0335/2022
60	ON694341	5/27/22	Western Europe	MPXV/Germany/2022/RKI012
61	OP414301	6/19/22	Southern Europe	Monkeypox/PT0261/2022
62	ON803440	5/22/22	North America	MpxV/human/CAN/UN-NML-2954/2022
63	ON682265	5/1/22	Western Europe	MPXV/Germany/2022/RKI04
64	OP687927	6/1/22	North America	MPXV_USA_2022_CA0036
65	OP245353	7/13/22	Southern Europe	MPX/PT0120/2022
66	OP062233	6/28/22	North America	MpxV/human/CAN/UN-NML-3913/2022
67	OP018595	7/31/22	Western Europe	MPXV/Germany/2022/RKI170
68	OP382487	7/18/22	Western Europe	hMPXV-IHU00010
69	OP555594	8/17/22	Southern Europe	Monkeypox/PT0523/2022
70	OP539889	8/11/22	North America	MPX/Human/USA/CA-LACPHL-MA00104/2022
71	OP715829	6/30/22	Western Europe	MPXV/Germany/2022/RKI549
72	OX261748	7/13/22	Central Europe	RNA
73	OP414363	5/27/22	Southern Europe	Monkeypox/PT0332/2022
74	ON880541	6/1/22	North America	MpxV/human/CAN/UN-NML-3344/2022
