accession	strain_region_coarse_date
ON838940	4061_SouthernEurope_2022-05-20	accession
ON838939	8887_SouthernEurope_2022-06-06	accession
OP413713	9000231_WesternEurope_2022-07-25	accession
OP413714	9000289_WesternEurope_2022-08-01	accession
OP413715	9000327_WesternEurope_2022-08-17	accession
OP413716	9000351_WesternEurope_2022-08-01	accession
OP413717	9000353_WesternEurope_2022-08-01	accession
OP536746	9000364_WesternEurope_2022-08-01	accession
OP536747	9000365_WesternEurope_2022-08-01	accession
OP536748	9000366_WesternEurope_2022-08-01	accession
OP536749	9000368_WesternEurope_2022-08-01	accession
OP536750	9000369_WesternEurope_2022-08-01	accession
OP536751	9000370_WesternEurope_2022-08-01	accession
OP536752	9000372_WesternEurope_2022-08-31	accession
OP536753	9000373_WesternEurope_2022-08-29	accession
OP536754	9000374_WesternEurope_2022-08-25	accession
OP536755	9000375_WesternEurope_2022-08-31	accession
OP536756	9000376_WesternEurope_2022-08-14	accession
OP536757	9000377_WesternEurope_2022-08-01	accession
OP536758	9000378_WesternEurope_2022-08-01	accession
OP536759	9000380_WesternEurope_2022-08-01	accession
OP536760	9000381_WesternEurope_2022-08-25	accession
OP536761	9000382_WesternEurope_2022-08-25	accession
OP536762	9000383_WesternEurope_2022-08-01	accession
OP536763	9000384_WesternEurope_2022-08-17	accession
OP536764	9000385_WesternEurope_2022-09-17	accession
OP536765	9000387_WesternEurope_2022-08-15	accession
OP536766	9000388_WesternEurope_2022-08-01	accession
OP536767	9000389_WesternEurope_2022-08-01	accession
OP536768	9000390_WesternEurope_2022-08-01	accession
OP536769	9000391_WesternEurope_2022-08-01	accession
OP536770	9000392_WesternEurope_2022-08-02	accession
OP536771	9000393_WesternEurope_2022-08-25	accession
OP536772	9000394_WesternEurope_2022-08-23	accession
OP536773	9000395_WesternEurope_2022-08-01	accession
OP536774	9000396_WesternEurope_2022-09-01	accession
OP536775	9000397_WesternEurope_2022-08-25	accession
OP536776	9000398_WesternEurope_2022-09-01	accession
OP536777	9000399_WesternEurope_2022-09-01	accession
OP536778	9000400_WesternEurope_2022-09-30	accession
OP536779	9000403_WesternEurope_2022-09-01	accession
OP536780	9000404_WesternEurope_2022-08-01	accession
OP536781	9000405_WesternEurope_2022-09-01	accession
OP536782	9000406_WesternEurope_2022-09-01	accession
OP536783	9000407_WesternEurope_2022-09-30	accession
OP536784	9000408_WesternEurope_2022-09-01	accession
OP536785	9000409_WesternEurope_2022-09-11	accession
OP536787	9000412_WesternEurope_2022-08-01	accession
OP536788	9000413_WesternEurope_2022-08-01	accession
OP536789	9000415_WesternEurope_2022-08-24	accession
OP536790	9000416_WesternEurope_2022-08-01	accession
OP536791	9000417_WesternEurope_2022-08-25	accession
OP536792	9000418_WesternEurope_2022-08-01	accession
OP536793	9000419_WesternEurope_2022-08-01	accession
OP536794	9000420_WesternEurope_2022-08-25	accession
OP536795	9000421_WesternEurope_2022-08-01	accession
OP536796	9000422_WesternEurope_2022-08-01	accession
OP536797	9000423_WesternEurope_2022-08-24	accession
OP536798	9000424_WesternEurope_2022-08-01	accession
OP536799	9000425_WesternEurope_2022-08-01	accession
OP536800	9000426_WesternEurope_2022-08-01	accession
OP536801	9000429_WesternEurope_2022-09-01	accession
OP536802	9000430_WesternEurope_2022-09-01	accession
OP536803	9000431_WesternEurope_2022-09-01	accession
OP536804	9000432_WesternEurope_2022-09-01	accession
OP536805	9000435_WesternEurope_2022-07-25	accession
OP536806	9000437_WesternEurope_2022-08-25	accession
OP536807	9000438_WesternEurope_2022-09-01	accession
OP536808	9000442_WesternEurope_2022-08-25	accession
OP536809	9000444_WesternEurope_2022-08-01	accession
OP536810	9000445_WesternEurope_2022-08-01	accession
OP536811	9000448_WesternEurope_2022-09-01	accession
OP536813	9000451_WesternEurope_2022-09-01	accession
OP536814	9000452_WesternEurope_2022-09-01	accession
OP536815	9000453_WesternEurope_2022-09-01	accession
ON676708	MPXV_USA_2021_MD_NorthAmerica_2021-11-04	accession
OQ249661	CMIP-P0_WesternEurope_2022-06-14	accession
OQ249660	CIBU-220035_WesternEurope_2022-06-08	accession
OP597785	MN-MDH-MPXV_0011_NorthAmerica_2022-07-12	accession
OP752125	MPXV_USA_2022_WA0014_NorthAmerica_2022-07-01	accession
OP414366	Monkeypox/PT0337/2022_SouthernEurope_2022-05-26	accession
OP451008	MPXV_USA_2022_CT0003_NorthAmerica_2022-07-01	accession
ON803427	MpxV/human/CAN/UN-NML-2861/2022_NorthAmerica_2022-05-18	accession
OP414323	Monkeypox/PT0288/2022_SouthernEurope_2022-06-13	accession
OP863255	MPXV/Germany/2022/ON/RKI605_WesternEurope_2022-09-01	accession
OP022171	MPXV_UK_2022_6_WesternEurope_2022-05-01	accession
OP587257	MPXV/Human/USA/CA-CDPH-MPX000033/2022_NorthAmerica_2022-08-01	accession
OP245335	MPX/PT0084/2022_SouthernEurope_2022-07-22	accession
OP123047	MpxV/human/USA/WA-UW-071121/2022_NorthAmerica_2022-07-01	accession
ON649716	Monkeypox/PT0016/2022_SouthernEurope_2022-05-23	accession
OP414324	Monkeypox/PT0289/2022_SouthernEurope_2022-06-12	accession
OP414297	Monkeypox/PT0256/2022_SouthernEurope_2022-06-19	accession
OP245342	MPX/PT0108/2022_SouthernEurope_2022-07-18	accession
OP245336	MPX/PT0085/2022_SouthernEurope_2022-07-21	accession
OP687941	MPXV_USA_2022_NY0031_NorthAmerica_2022-08-01	accession
OP355581	MPXV/Germany/2022/ON/RKI325_WesternEurope_2022-08-01	accession
OP414343	Monkeypox/PT0309/2022_SouthernEurope_2022-06-06	accession
OP018590	MPXV/Germany/2022/RKI181_WesternEurope_2022-07-01	accession
OP752105	MPXV_USA_2022_CA0038_NorthAmerica_2022-07-01	accession
OP689665	MPXV/Germany/2022/ON/RKI512_WesternEurope_2022-10-01	accession
OQ121042	hMpxV/USA/CA-CDPH-1000089/2022_NorthAmerica_2022-08-08	accession
ON880543	MpxV/human/CAN/UN-NML-3357/2022_NorthAmerica_2022-06-02	accession
ON983161	MpxV/human/CAN/UN-NML-3530/2022_NorthAmerica_2022-06-03	accession
ON676705	MPXV_USA_2022_UT001_NorthAmerica_2022-05-01	accession
ON959174	MPXV/Germany/2022/RKI161_WesternEurope_2022-07-01	accession
OP539931	MPX/Human/USA/CA-LACPHL-MA00146/2022_NorthAmerica_2022-09-02	accession
OP837355	MPXV/Germany/2022/RKI593_WesternEurope_2022-10-01	accession
OP764615	MPXV/Germany/2022/RKI557_WesternEurope_2022-06-01	accession
ON853679	MPXV/Germany/2022/RKI077_WesternEurope_2022-06-01	accession
OP205130	MPXV_UK_2022_9000185_WesternEurope_2022-06-29	accession
OP414313	Monkeypox/PT0273/2022_SouthernEurope_2022-06-15	accession
ON803434	MpxV/human/CAN/UN-NML-2886/2022_NorthAmerica_2022-05-20	accession
ON959158	MPXV/Germany/2022/RKI143_WesternEurope_2022-07-01	accession
ON880518	MpxV/human/CAN/UN-NML-3486/2022_NorthAmerica_2022-06-08	accession
ON649711	Monkeypox/PT0026/2022_SouthernEurope_2022-05-18	accession
OP378698	MPXV_USA_2022_GA0007_NorthAmerica_2022-06-01	accession
OP722516	MPX/Human/USA/CA-LACPHL-MA00257/2022_NorthAmerica_2022-07-13	accession
OP687940	MPXV_USA_2022_NY0030_NorthAmerica_2022-08-01	accession
OP382495	hMPXV-IHU00018_WesternEurope_2022-07-22	accession
OP414301	Monkeypox/PT0261/2022_SouthernEurope_2022-06-19	accession
ON880531	MpxV/human/CAN/UN-NML-3165/2022_NorthAmerica_2022-05-29	accession
OP414339	Monkeypox/PT0305/2022_SouthernEurope_2022-06-06	accession
OP324517	Monkeypox/PT0207/2022_SouthernEurope_2022-06-22	accession
OP615264	MPX/Human/USA/CA-LACPHL-MA00191/2022_NorthAmerica_2022-07-15	accession
ON619836	MPXV_UK_2022_2_WesternEurope_2022-05-15	accession
OP536694	MPXV-USA-IL-IDPH-033_NorthAmerica_2022-06-15	accession
OP689658	MPXV/Germany/2022/ON/RKI505_WesternEurope_2022-08-01	accession
ON595760	MPXV-CH-38134631/2022_WesternEurope_2022-05-19	accession
OP324497	Monkeypox/PT0182/2022_SouthernEurope_2022-06-27	accession
OP680509	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00231/2022_NorthAmerica_2022-10-04	accession
OP722510	MPX/Human/USA/CA-LACPHL-MA00251/2022_NorthAmerica_2022-07-20	accession
OP324489	Monkeypox/PT0174/2022_SouthernEurope_2022-06-30	accession
ON929081	MPXV/Germany/2022/RKI126_WesternEurope_2022-07-01	accession
ON755241	MPXV/Germany/2022/RKI035_WesternEurope_2022-06-01	accession
OP524009	MPXV/Germany/2022/RKI407_WesternEurope_2022-09-01	accession
OP587258	MPXV/Human/USA/CA-CDPH-MPX000036/2022_NorthAmerica_2022-08-15	accession
OP680499	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00221/2022_NorthAmerica_2022-07-15	accession
OP414349	Monkeypox/PT0317/2022_SouthernEurope_2022-06-06	accession
OP324516	Monkeypox/PT0205/2022_SouthernEurope_2022-06-27	accession
OP257264	MpxV/human/USA/WA-UW-080976/2022_NorthAmerica_2022-08-01	accession
OP382483	hMPXV-IHU00006_WesternEurope_2022-07-04	accession
ON803436	MpxV/human/CAN/UN-NML-2894/2022_NorthAmerica_2022-05-20	accession
OP747053	MpxV/human/USA/WA-UW-097661/2022_NorthAmerica_2022-09-01	accession
OP580602	hMPX/USA/CA-LACPHL-MA00169/2022_NorthAmerica_2022-08-05	accession
OP414378	Monkeypox/PT0349/2022_SouthernEurope_2022-05-26	accession
OP205104	MPXV_UK_2022_9000140_WesternEurope_2022-07-06	accession
OP414357	Monkeypox/PT0325/2022_SouthernEurope_2022-06-03	accession
OP205125	MPXV_UK_2022_9000175_WesternEurope_2022-06-24	accession
OP414381	Monkeypox/PT0354/2022_SouthernEurope_2022-05-23	accession
OP555519	Monkeypox/PT0434/2022_SouthernEurope_2022-08-02	accession
OP555494	Monkeypox/PT0398/2022_SouthernEurope_2022-07-15	accession
OP414368	Monkeypox/PT0339/2022_SouthernEurope_2022-05-26	accession
OP205093	MPXV_UK_2022_9000105_WesternEurope_2022-06-14	accession
OP722511	MPX/Human/USA/CA-LACPHL-MA00252/2022_NorthAmerica_2022-07-14	accession
OP414375	Monkeypox/PT0346/2022_SouthernEurope_2022-05-26	accession
OP324543	Monkeypox/PT0235/2022_SouthernEurope_2022-06-21	accession
OP587248	MPXV/Human/USA/CA-CDPH-MPX000019/2022_NorthAmerica_2022-07-08	accession
OP442550	hMPX/Human/USA/CA-LACPHL-MA00083/2022_NorthAmerica_2022-07-13	accession
ON780016	INMI-Pt3_SouthernEurope_2022-05-19	accession
ON619835	MPXV_UK_2022_1_WesternEurope_2022-05-01	accession
OP484340	MPXV22/human/USA-OK-104_NorthAmerica_2022-08-02	accession
ON853657	MPXV/Germany/2022/RKI071_WesternEurope_2022-06-01	accession
ON585033	Monkeypox/PT0006/2022_SouthernEurope_2022-05-15	accession
ON585029	Monkeypox/PT0001/2022_SouthernEurope_2022-05-04	accession
OP324542	Monkeypox/PT0234/2022_SouthernEurope_2022-06-20	accession
OP450993	MPXV_USA_2022_NC0004_NorthAmerica_2022-07-01	accession
OP171922	MPXV22/human/USA-NE-44_NorthAmerica_2022-07-14	accession
OP414327	Monkeypox/PT0292/2022_SouthernEurope_2022-06-09	accession
OP580606	hMPX/USA/CA-LACPHL-MA00173/2022_NorthAmerica_2022-07-28	accession
OP555480	Monkeypox/PT0384/2022_SouthernEurope_2022-07-12	accession
OP390199	hMpxV/UK/LMO-034a/2022_WesternEurope_2022-07-14	accession
OP205068	MPXV_UK_2022_9000062_WesternEurope_2022-06-05	accession
OX336004	RNA_CentralEurope_2022-08-26	accession
OP594208	MPXV/Germany/2022/RKI444_WesternEurope_2022-09-01	accession
OP414350	Monkeypox/PT0318/2022_SouthernEurope_2022-06-03	accession
