strain	date	date_submitted	clade_membership	region	host	country	recency	lineage	author	accession	dinuc_context_fraction	GA_CT_fraction
4061	2022-05-20	2022-06-24	IIb	Europe	Homo sapiens	Spain	Older	B.1	de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J.	ON838940		
8887	2022-06-06	2022-06-24	IIb	Europe	Homo sapiens	Spain	Older	B.1	de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J.	ON838939	1.00	1.00
9000353	2022-08-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP413717		
9000370	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536751	1.00	1.00
9000374	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536754	1.00	1.00
9000378	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536758	1.00	1.00
9000385	2022-09-08	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.10	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536764		
9000390	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536768	1.00	1.00
9000395	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536773		
9000396	2022-09-03	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536774	1.00	1.00
9000398	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536776	1.00	1.00
9000399	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536777		
9000403	2022-09-24	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536779	0.80	1.00
9000405	2022-09-17	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536781		
9000406	2022-09-17	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536782		
9000407	2022-09-30	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536783	1.00	1.00
9000408	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536784		
9000421	2022-08-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536795		
9000429	2022-09-11	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.7	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536801	1.00	1.00
9000430	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536802	1.00	1.00
9000431	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536803	1.00	1.00
9000432	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.3	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536804	1.00	0.50
9000438	2022-09-30	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1.2	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536807	0.67	1.00
9000448	2022-09-01	2022-09-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP536811	1.00	1.00
MPXV_USA_2021_MD	2021-11-24	2022-06-03	IIb	North America	Homo sapiens	USA	Older	A.1.1	Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.	ON676708		
hMPXV-IHU00006	2022-07-04	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382483		
MPXV/Germany/2022/RKI188	2022-08-01	2022-08-12	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	OP215204	1.00	1.00
PEV_case	2022-07-29	2022-10-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Berens-Riha,N., De Block,T., Rutgers,J., Van Gestel,L., Hens,M., Kenyon,C., Soentjens,P., Van Griensven,J., Brosius,I., Arien,K., Van Esbroeck,M., Rezende,A.M., Vercauteren,K., Liesenborghs,L.	OP727820	0.60	1.00
